ohe__protocol_type_ICMP,ohe__protocol_type_TCP,ohe__protocol_type_UDP,ohe__browser_type_Chrome,ohe__browser_type_Edge,ohe__browser_type_Firefox,ohe__browser_type_Safari,ohe__protocol_encrypt_ICMP_AES,ohe__protocol_encrypt_ICMP_DES,ohe__protocol_encrypt_TCP_AES,ohe__protocol_encrypt_TCP_DES,ohe__protocol_encrypt_UDP_AES,ohe__protocol_encrypt_UDP_DES,remainder__network_packet_size,remainder__login_attempts,remainder__session_duration,remainder__encryption_used,remainder__ip_reputation_score,remainder__failed_logins,remainder__unusual_time_access,remainder__attack_detected,remainder__long_session,remainder__large_packet,remainder__risk_score,is_outlier_ohe__protocol_type_ICMP,is_outlier_ohe__protocol_type_TCP,is_outlier_ohe__protocol_type_UDP,is_outlier_ohe__browser_type_Chrome,is_outlier_ohe__browser_type_Edge,is_outlier_ohe__browser_type_Firefox,is_outlier_ohe__browser_type_Safari,is_outlier_ohe__protocol_encrypt_ICMP_AES,is_outlier_ohe__protocol_encrypt_ICMP_DES,is_outlier_ohe__protocol_encrypt_TCP_AES,is_outlier_ohe__protocol_encrypt_TCP_DES,is_outlier_ohe__protocol_encrypt_UDP_AES,is_outlier_ohe__protocol_encrypt_UDP_DES,is_outlier_remainder__network_packet_size,is_outlier_remainder__login_attempts,is_outlier_remainder__session_duration,is_outlier_remainder__encryption_used,is_outlier_remainder__ip_reputation_score,is_outlier_remainder__failed_logins,is_outlier_remainder__unusual_time_access,is_outlier_remainder__attack_detected,is_outlier_remainder__long_session,is_outlier_remainder__large_packet,is_outlier_remainder__risk_score
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,599.0,4.0,492.9832634426563,1.0,0.606818080396889,1.0,0.0,1.0,0.0,1.0,0.7247726562778223,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,472.0,3.0,1557.9964611204384,1.0,0.3015689675960893,0.0,0.0,0.0,1.0,0.0,0.2110982773172625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,629.0,3.0,75.04426166420741,1.0,0.7391643279163831,2.0,0.0,1.0,0.0,1.0,1.1174150295414682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,453.0,5.0,532.5408884201419,0.0,0.0548738567431703,1.0,0.0,0.0,0.0,0.0,0.33841169972021923,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,5.0,380.4715502453134,0.0,0.4224858607066699,2.0,0.0,0.0,0.0,0.0,0.895740102494669,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.0,4.0,728.1071646972356,0.0,0.4137719285892984,1.0,0.0,1.0,1.0,1.0,0.5896403500125089,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,653.0,3.0,12.5999060098958,1.0,0.0977193658576949,3.0,0.0,1.0,0.0,1.0,0.9684035561003863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,6.0,580.7219253670751,1.0,0.1228937389064628,3.0,0.0,1.0,1.0,0.0,0.9860256172345239,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,8.0,191.0528369326706,1.0,0.3397112713433893,1.0,0.0,1.0,0.0,0.0,0.5377978899403725,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,6.0,292.1361960073892,1.0,0.2549124511362793,3.0,0.0,1.0,0.0,0.0,1.0784387157953954,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,297.0,8.0,1421.414371761036,0.0,0.345367552273892,3.0,0.0,1.0,1.0,0.0,1.1417572865917243,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,2.0,883.6175678484254,1.0,0.3101131570512104,0.0,0.0,0.0,1.0,0.0,0.21707920993584726,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,793.0,3.0,122.1894142089281,0.0,0.3693246493280864,2.0,0.0,0.0,0.0,1.0,0.8585272545296605,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,513.0,3.0,654.5261426459776,0.0,0.4970295435549451,1.0,0.0,0.0,1.0,1.0,0.6479206804884615,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,215.0,8.0,317.0788581057768,0.0,0.461950842242767,2.0,0.0,1.0,0.0,0.0,0.9233655895699369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,391.0,5.0,93.17112499822254,0.0,0.536245189457405,2.0,0.0,0.0,0.0,0.0,0.9753716326201834,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,522.0,4.0,211.59584253834697,0.0,0.1078985576055601,3.0,0.0,1.0,0.0,1.0,0.975528990323892,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,575.0,3.0,2409.4015504363106,1.0,0.4204711850467863,0.0,0.0,0.0,1.0,1.0,0.2943298295327504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,2.0,214.98212232301017,0.0,0.7863154442710675,2.0,0.0,1.0,0.0,0.0,1.1504208109897471,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,441.0,7.0,604.9615522886485,0.0,0.3360318477936075,0.0,0.0,1.0,1.0,0.0,0.23522229345552523,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,379.0,1.0,447.62330730772806,1.0,0.0993898185618982,0.0,0.0,0.0,0.0,0.0,0.06957287299332873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,2.0,674.2716307687525,1.0,0.2720868405623606,1.0,0.0,1.0,1.0,1.0,0.49046078839365237,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,2.0,1039.10118603804,0.0,0.110269438624984,3.0,0.0,1.0,1.0,0.0,0.9771886070374887,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,255.0,2.0,268.71323796747225,0.0,0.5173361768348047,1.0,0.0,0.0,0.0,0.0,0.6621353237843632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,108.0,7.0,2409.4015504363106,0.0,0.0795093219361312,2.0,0.0,1.0,1.0,0.0,0.6556565253552918,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,234.0,5.0,1608.365096858205,1.0,0.6459042598252172,3.5,0.0,1.0,1.0,0.0,1.608983429318689,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,539.0,4.0,361.9425945829811,1.0,0.3087899599206534,0.0,0.0,0.0,0.0,1.0,0.21615297194445737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,534.0,4.0,888.2555882449734,0.0,0.0367521363575246,3.0,0.0,1.0,1.0,1.0,0.9257264954502671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,476.0,4.0,460.1784563437431,1.0,0.3974194615917665,2.0,0.0,0.0,0.0,0.0,0.8781936231142364,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,204.0,4.0,899.8403029798167,1.0,0.3373211395417786,1.0,0.0,0.0,1.0,0.0,0.536124797679245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,356.0,2.0,1401.0372662699012,1.0,0.6729768279913647,1.0,0.0,1.0,1.0,0.0,0.7710837795939552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,407.0,7.0,432.6976830475844,1.0,0.081769711383674,3.0,0.0,1.0,0.0,0.0,0.9572387979685717,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,711.0,5.0,1282.4285713839413,0.0,0.207445483534184,2.0,0.0,1.0,1.0,1.0,0.7452118384739288,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,147.0,1.0,1062.659149730583,0.0,0.2633726317268964,1.0,0.0,0.0,1.0,0.0,0.48436084220882747,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
