session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,attack_detected,long_session,protocol_encrypt,large_packet,risk_score
SID_00001,599.0,TCP,4.0,492.9832634426563,DES,0.606818080396889,1.0,Edge,0.0,1.0,0,TCP_DES,1,0.7247726562778223
SID_00002,472.0,TCP,3.0,1557.9964611204384,DES,0.3015689675960893,0.0,Firefox,0.0,0.0,1,TCP_DES,0,0.2110982773172625
SID_00003,629.0,TCP,3.0,75.04426166420741,DES,0.7391643279163831,2.0,Chrome,0.0,1.0,0,TCP_DES,1,1.1174150295414682
SID_00005,453.0,TCP,5.0,532.5408884201419,AES,0.0548738567431703,1.0,Firefox,0.0,0.0,0,TCP_AES,0,0.33841169972021923
SID_00006,453.0,UDP,5.0,380.4715502453134,AES,0.4224858607066699,2.0,Chrome,1.0,0.0,0,UDP_AES,0,0.895740102494669
SID_00007,815.0,ICMP,4.0,728.1071646972356,AES,0.4137719285892984,1.0,Chrome,0.0,1.0,1,ICMP_AES,1,0.5896403500125089
SID_00008,653.0,TCP,3.0,12.5999060098958,DES,0.0977193658576949,3.0,Chrome,1.0,1.0,0,TCP_DES,1,0.9684035561003863
SID_00011,407.0,UDP,6.0,580.7219253670751,DES,0.1228937389064628,3.0,Firefox,0.0,1.0,1,UDP_DES,0,0.9860256172345239
SID_00012,406.0,UDP,9.0,191.0528369326706,DES,0.3397112713433893,1.0,Edge,0.0,1.0,0,UDP_DES,0,0.5377978899403725
SID_00016,387.0,ICMP,6.0,292.1361960073892,DES,0.2549124511362793,3.0,Chrome,0.0,1.0,0,ICMP_DES,0,1.0784387157953954
SID_00017,297.0,TCP,8.0,1421.414371761036,AES,0.345367552273892,3.0,Firefox,0.0,1.0,1,TCP_AES,0,1.1417572865917243
SID_00020,217.0,ICMP,2.0,883.6175678484254,DES,0.3101131570512104,0.0,Chrome,0.0,0.0,1,ICMP_DES,0,0.21707920993584726
SID_00021,793.0,TCP,3.0,122.1894142089281,AES,0.3693246493280864,2.0,Firefox,0.0,0.0,0,TCP_AES,1,0.8585272545296605
SID_00023,513.0,TCP,3.0,654.5261426459776,AES,0.4970295435549451,1.0,Firefox,0.0,0.0,1,TCP_AES,1,0.6479206804884615
SID_00024,215.0,TCP,8.0,317.0788581057768,AES,0.461950842242767,2.0,Chrome,0.0,1.0,0,TCP_AES,0,0.9233655895699369
SID_00025,391.0,TCP,5.0,93.17112499822254,AES,0.536245189457405,2.0,Firefox,0.0,0.0,0,TCP_AES,0,0.9753716326201834
SID_00026,522.0,TCP,4.0,211.59584253834697,AES,0.1078985576055601,3.0,Firefox,0.0,1.0,0,TCP_AES,1,0.975528990323892
SID_00028,575.0,TCP,3.0,3286.221727767748,DES,0.4204711850467863,0.0,Chrome,0.0,0.0,1,TCP_DES,1,0.2943298295327504
SID_00029,379.0,UDP,2.0,214.98212232301017,AES,0.7863154442710675,2.0,Chrome,0.0,1.0,0,UDP_AES,0,1.1504208109897471
SID_00030,441.0,TCP,7.0,604.9615522886485,AES,0.3360318477936075,0.0,Firefox,0.0,1.0,1,TCP_AES,0,0.23522229345552523
SID_00031,379.0,TCP,1.0,447.62330730772806,DES,0.0993898185618982,0.0,Chrome,0.0,0.0,0,TCP_DES,0,0.06957287299332873
SID_00032,870.0,UDP,2.0,674.2716307687525,DES,0.2720868405623606,1.0,Chrome,0.0,1.0,1,UDP_DES,1,0.49046078839365237
SID_00034,288.0,ICMP,2.0,1039.10118603804,AES,0.110269438624984,3.0,Chrome,0.0,1.0,1,ICMP_AES,0,0.9771886070374887
SID_00036,255.0,TCP,2.0,268.71323796747225,AES,0.5173361768348047,1.0,Chrome,1.0,0.0,0,TCP_AES,0,0.6621353237843632
SID_00038,108.0,TCP,7.0,3325.3086894656926,AES,0.0795093219361312,2.0,Firefox,0.0,1.0,1,TCP_AES,0,0.6556565253552918
SID_00039,234.0,TCP,5.0,1608.365096858205,DES,0.6459042598252172,4.0,Firefox,0.0,1.0,1,TCP_DES,0,1.652132981877652
SID_00040,539.0,TCP,4.0,361.9425945829811,DES,0.3087899599206534,0.0,Chrome,0.0,0.0,0,TCP_DES,1,0.21615297194445737
SID_00042,534.0,TCP,4.0,888.2555882449734,AES,0.0367521363575246,3.0,Chrome,0.0,1.0,1,TCP_AES,1,0.9257264954502671
SID_00043,476.0,TCP,4.0,460.1784563437431,DES,0.3974194615917665,2.0,Edge,0.0,0.0,0,TCP_DES,0,0.8781936231142364
SID_00045,204.0,TCP,4.0,899.8403029798167,DES,0.3373211395417786,1.0,Chrome,0.0,0.0,1,TCP_DES,0,0.536124797679245
SID_00046,356.0,TCP,2.0,1401.0372662699012,DES,0.6729768279913647,1.0,Chrome,0.0,1.0,1,TCP_DES,0,0.7710837795939552
SID_00047,407.0,TCP,7.0,432.6976830475844,DES,0.081769711383674,3.0,Edge,1.0,1.0,0,TCP_DES,0,0.9572387979685717
SID_00048,711.0,TCP,5.0,1282.4285713839413,AES,0.207445483534184,2.0,Edge,0.0,1.0,1,TCP_AES,1,0.7452118384739288
SID_00050,147.0,TCP,1.0,1062.659149730583,AES,0.2633726317268964,1.0,Edge,0.0,0.0,1,TCP_AES,0,0.48436084220882747
SID_00052,422.0,TCP,5.0,415.6167950841102,AES,0.4663241681421678,1.0,Chrome,0.0,0.0,0,TCP_AES,0,0.6264269176995174
SID_00053,364.0,TCP,5.0,1274.1942392067006,AES,0.8708336888298047,2.0,Firefox,0.0,1.0,1,TCP_AES,0,1.2095835821808634
SID_00055,706.0,TCP,4.0,2107.19716665885,DES,0.4658562587345757,2.0,Edge,1.0,0.0,1,TCP_DES,1,0.9260993811142029
